Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/Berlin_cohort_Sweden_mag_speclib_OBO/All_Raw/20190228_QX1_PhGe_SA_EASY12-10_Deigendesch_C12_168743858_repeat.mzML
A0A075B6H7;A0A0C4DH55;P01624	P01624;A0A075B6H7;A0A0C4DH55				5.30495e+08
A0A075B6I0	A0A075B6I0				1.36249e+08
A0A075B6I1	A0A075B6I1				9.52003e+06
A0A075B6I9	A0A075B6I9				1.35427e+08
A0A075B6J1;A0A0A0MRZ9	A0A075B6J1;A0A0A0MRZ9				961568
A0A075B6J9	A0A075B6J9				6.09657e+07
A0A075B6K4	A0A075B6K0;A0A075B6K4				6.87007e+06
A0A075B6K5	A0A075B6K5				1.97642e+07
A0A075B6P5;P01615	P01615;A0A075B6P5				8.36651e+08
A0A075B6Q5	A0A075B6Q5				5.41674e+06
A0A075B6R2	A0A075B6R2				4.16319e+07
A0A075B6R9;A0A0C4DH68	A0A075B6R9;A0A0C4DH68				3.00727e+07
A0A075B6S2	A0A075B6S2;A2NJV5				9.20167e+08
A0A075B6S5	A0A075B6S5				6.47653e+06
A0A075B6S6	A0A075B6S6				2.4762e+06
A0A087WSX0	A0A087WSX0				8.69442e+06
A0A087WSY4	A0A087WSY4				1.04187e+07
A0A087WSY6	A0A087WSY6				3.11766e+08
A0A087WSZ0	A0A087WSZ0				3.03867e+06
A0A087WW87;P01614	P01614;A0A087WW87				1.97176e+06
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8				4.51207e+08
A0A0A0MS15	A0A0A0MS15				1.99674e+07
A0A0A0MT89	A0A0A0MT89				3.02212e+07
A0A0B4J1U7	A0A0B4J1U7				2.49824e+07
A0A0B4J1V0	A0A0B4J1V0				6.10252e+07
A0A0B4J1V2	A0A0B4J1V2				7.03358e+06
A0A0B4J1X5	A0A0B4J1X5				2.36594e+08
A0A0B4J1Y8	A0A0B4J1Y8				1.76575e+07
A0A0B4J1Y9	A0A0B4J1Y9				1.66165e+07
A0A0B4J2D9;P0DP09	A0A0B4J2D9;P0DP09				4.94474e+06
A0A0C4DH24	A0A0C4DH24				3.71432e+06
A0A0C4DH25	A0A0C4DH25				4.47585e+07
A0A0C4DH29	A0A0C4DH29				1.41831e+06
A0A0C4DH33	A0A0C4DH33				1.51437e+06
A0A0C4DH34	A0A0C4DH34				1.09427e+07
A0A0C4DH35	A0A0C4DH35				4.16212e+07
A0A0C4DH36	A0A0C4DH36				1.08316e+07
A0A0C4DH38	A0A0C4DH38				1.69467e+07
A0A0C4DH43	A0A0C4DH43				2.61025e+07
A0A0C4DH67	A0A0C4DH67				8.58361e+07
A0A0G2JMI3	A0A0G2JMI3				495036
A0A0G2JS06	A0A0G2JS06				5.85117e+06
A0A0J9YX35	A0A0J9YX35				1.24151e+07
A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1				1.71244e+08
A0A2R8Y619;O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q5QNW6-2;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880	O60814;P06899;P23527;P33778;P57053;P58876;P62807;Q16778;Q5QNW6;Q8N257;Q93079;Q96A08;Q99877;Q99879;Q99880;A0A2R8Y619;Q5QNW6-2				835966
A0M8Q6	P0CG04;P0DOY2;A0M8Q6;P0CF74;B9A064;P0DOX8				3.53497e+08
A1L4H1	A1L4H1				5.69029e+06
A2RU67	A2RU67				491843
A5D6W6	A5D6W6				1.10018e+07
A6BM72;A6BM72-2;A6BM72-4	A6BM72;A6BM72-2;A6BM72-4				1.83115e+06
A6NCE7;Q9GZQ8	Q9GZQ8;Q9H492;A6NCE7;Q9H492-2				3.01439e+06
A6NGN9	A6NGN9				1.30021e+07
A6NHG4;P30046;P30046-2	P30046;A6NHG4;P30046-2				3.91155e+06
A6NL88	A6NL88				2.0408e+06
A6NLU5	A6NLU5				3.34565e+07
A6NML5	A6NML5				7.23059e+06
A8MTJ3;P04899;P04899-4;P08754;P11488;P19087;P63096	A8MTJ3;P04899;P08754;P09471;P11488;P19087;P38405;P63092;P63096;Q5JWF2;P63092-2;P04899-4;P63092-3;P63092-4;Q5JWF2-2;P09471-2;P38405-2				763454
A8MTW9	A8MTW9				2.56034e+06
B1AJZ9;B1AJZ9-4	B1AJZ9;B1AJZ9-4				4.45812e+06
B4DS77;B4DS77-2	B4DS77;B4DS77-2;B4DS77-3				318410
C9JVW0	C9JVW0				1.65795e+07
I3L3R5	I3L3R5				1.56209e+06
O00115;O00115-2	O00115;O00115-2				1.10707e+07
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6				4.6602e+07
O00233;O00233-2	O00233;O00233-2				89431.3
O00244	O00244				947148
O00264	O00264;O00264-2				1.83508e+08
O00292;O00292-2	O00292;O75610;O00292-2				2.29625e+06
O00299	O00299				2.4393e+06
O00339;O00339-2;O00339-3	O00339;O00339-2;O00339-3				4.04802e+06
O00391	O00391;O00391-2				2.66491e+07
O00451	O00451;O00451-2;O00451-3				2.14165e+07
O00461	O00461				9.54423e+06
O00462	O00462				9.09378e+06
O00468-6	O00468-6;O00468-7				1.8866e+07
O00469;O00469-2;O00469-3	O00469;O00469-2;O00469-3				528151
O00533	O00533				1.20716e+07
O00533-2	O00533;O00533-2				2.89228e+08
O00560;O00560-2;O00560-3	O00560;O00560-2;O00560-3				1.47206e+06
O00567	O00567				489829
O00584	O00584				3.37859e+07
O00754;O00754-2	O00754;O00754-2				4.33374e+06
O14498	O14498				4.77894e+07
O14514	O14514				2.72494e+06
O14522	O14522;O14522-1				2.0128e+06
O14525;O14525-2;O14525-3	O14525;O14525-2;O14525-3				600893
O14594	O14594				2.87585e+08
O14657	O14657				204317
O14668;O14668-2	O14668;O14668-2				1.74686e+06
O14672	O14672				8.04225e+06
